GL-000024	NSCLC SOC Genes
GL-000025	Colon SOC Genes
GL-000026	Breast SOC List
GL-000046	Neuromuscular disorders and non-syndromic intellectual disability_CE
GL-000047	Hereditary breast and ovarian cancer predisposition test
GL-000049	Hereditary breast cancer, ovarian cancer and inherited cancer syndrome predisposition test
GL-000050	Hereditary gastrointestinal cancer predisposition test
GL-000051	Hereditary cancer predisposition test (BRCA1, BRCA2 and TP53)
GL-000053	Hereditary neurofibromatosis predisposition test
GL-000054	Sandhoff disease_CE
GL-000056	Hereditary breast, ovarian and gastrointestinal cancer predisposition test
GL-000057	Muscular dystrophies and congenital myopathies_CE
GL-000059	Microcephaly_NP
GL-000062	Menkes disease_RD
GL-000063	HMG CoA deficiency_CE
GL-000065	Hereditary breast, ovarian, nervous system and inherited cancer syndrome predisposition test
GL-000067	Disorders of sex development-v3_CE
GL-000069	Hereditary endocrine cancer predisposition test
GL-000070	Trichothiodystrophy_CE
GL-000072	Best disease_CE_suspended
GL-000073	Adrenal hyperplasia_CE
GL-000078	Cystic fibrosis_CE
GL-000079	Hyper-IgE syndrome_CE
GL-000080	Tay-Sachs and Sandhoff disease_CE
GL-000081	Ataxia and retinitis pigmentosa_CE
GL-000082	Intellectual disability and epilepsy_CE
GL-000083	Arrhythmias and adrenal hyperplasia_CE
GL-000085	Leber congenital amaurosis and achromatopsia_CE
GL-000086	Organic acidemias and Leigh syndrome_CE
GL-000087	Neurodevelopmental disorders and lissencephaly_NP
GL-000088	Hyper-IgE syndrome and cystic fibrosis_CE
GL-000094	Hereditary breast, ovarian, gynecological and gastrointestinal cancer predisposition test
GL-000095	Hereditary breast, ovarian, gastrointestinal and renal cancer predisposition test
GL-000096	Hereditary gastrointestinal cancer, gynecological cancer and inherited cancer syndrome predisposition test
GL-000097	Hereditary breast, ovarian, gastrointestinal and endocrine cancer predisposition test
GL-000098	CHD_temp
GL-000099	Hereditary retinoblastoma predisposition test
GL-000100	Mowat Wilson syndrome, multiple epiphyseal dysplasia, Al-Gazali-Bakalinova syndrome and all neurological disorders_CE
GL-000101	Adrenal hyperplasia and polycystic kidney disease_CE
GL-000102	Nemaline myopathy_RD
GL-000104	Hereditary gastrointestinal cancer, endocrine cancer and rare cancer predisposition test
GL-000106	Hereditary gynecological cancer and inherited cancer syndrome predisposition test
GL-000109	Cornelia de Lange syndrome_CE
GL-000113	Surfactant metabolism dysfunction and CFTR gene
GL-000118	Hereditary cancer predisposition test (ACMG genes)
GL-000121	Eye disorders_CE_to be suspended
GL-000122	All cardio-v2_CE
GL-000123	Inherited bone disorders_CE
GL-000125	HMG-CoA deficiency and neurological disorders_CE
GL-000126	test
GL-000127	ACMG genes list
GL-000128	Hereditary rare cancers predisposition test
GL-000129	Hereditary breast, ovarian and gynecological cancer predisposition test
GL-000130	Glycogen storage disease_RD
GL-000131	Retinitis pigmentosa and choroideremia_CE
GL-000133	Cutis laxa syndrome_CE
GL-000135	Hereditary cancer syndrome predisposition test
GL-000137	Retinitis Pigmentosa_RD
GL-000138	Eye disorders_RD
GL-000139	Adrenal hyperplasia_RD
GL-000141	Biotinidase deficiency_CE
GL-000143	Costello syndrome_CE
GL-000145	Noonan syndrome and Costello syndrome_CE
GL-000149	Myotonia-v2_CE
GL-000150	Gorlin syndrome test
GL-000151	Epidermolysis bullosa and Ichthyosis_RD
GL-000152	Sotos syndrome_CE
GL-000153	Overgrowth syndromes_CE
GL-000154	AAA syndrome_CE
GL-000155	Adrenal insufficiency_CE
GL-000156	Neuropathies_NP
GL-000158	Premature ovarian failure_CE
GL-000160	Infertility and related disorders_CE
GL-000165	Hirschsprung disease_CE
GL-000166	Muscular dystrophies, congenital myopathies and congenital myasthenic syndromes_CE
GL-000167	All Neurological disorders-v3_CE
GL-000168	Multiple epiphyseal dysplasia_CE.
GL-000169	Hereditary gastrointestinal and prostate cancer predisposition test
GL-000170	Cystic fibrosis_RD
GL-000171	Wilson disease_RD
GL-000172	Methylmalonic acidemia_RD
GL-000173	Plagiocephaly, neuroregression and neurological disorders_CE
GL-000177	Citrullinemia_RD
GL-000178	Pompe disease_RD
GL-000179	CHARGE syndrome_CE
GL-000180	Rickets_CE
GL-000182	Sotos syndrome and overgrowth syndrome_CE
GL-000185	Ivemark syndrome_CE
GL-000189	GLUT1 deficiency syndrome_CE
GL-000190	Hereditary cancer syndrome predisposition test (NBN and WT1)
GL-000192	Spinocerebellar ataxia, neuronal ceroid lipofuscinosis, epilepsy and neuroregression_CE
GL-000193	Hereditary breast and ovarian cancer predisposition test_WITH STK11
GL-000194	Ichthyosis_RD
GL-000195	Menkes disease, microcephaly, intellectual disability and epilepsy_CE
GL-000196	Coffin-Lowry syndrome_RD
GL-000198	Tyrosinemia_CE
GL-000199	Cholestasis and congenital disorder of glycosylation_CE
GL-000207	Multiple epiphyseal dysplasia and cartilage-hair hypoplasia_CE.
GL-000208	Hereditary tuberous sclerosis predisposition test
GL-000209	Hereditary breast and prostate cancer predisposition test
GL-000210	Hereditary breast cancer and gastrointestinal cancer predisposition test
GL-000211	Hereditary gynecological cancer predisposition test
GL-000213	Alexander disease_CE
GL-000214	Rubinstein-Taybi syndrome_CE
GL-000217	Alagille syndrome, neonatal cholestasis and congenital hepatic fibrosis_CE
