GL-000024	NSCLC SOC Genes 9	ALK BRAF EGFR ERBB2 KRAS MET PIK3CA RET ROS1
GL-000025	Colon SOC Genes 11	APC BRAF DPYD EGFR KRAS MET NRAS PIK3CA PTEN SMAD4 UGT1A1
GL-000026	Breast SOC List 10	BRCA1 BRCA2 CDKN2A DPYD EGFR ERBB2 PIK3CA PTEN SMAD4 TOP2A
GL-000046	Neuromuscular disorders and non-syndromic intellectual disability_CE 493	AAAS AARS ABCB7 ABCD1 ABHD12 ACSL4 ACTA1 ACTB ADCK3 ADCY5 ADNP AFF2 AFG3L2 AGTR2 AIFM1 ALDH18A1 ALS2 ANG ANK3 ANO10 ANO5 AP1S1 AP1S2 AP4B1 AP4E1 AP4M1 AP4S1 AP5Z1 APEX1 APOA1 APTX ARFGEF2 ARHGEF10 ARHGEF6 ARSA ATCAY ATL1 ATM ATN1 ATP13A2 ATP1A3 ATP2A1 ATP2B4 ATP6AP2 ATP7A ATP7B ATP8A2 ATXN1 ATXN10 ATXN3 ATXN7 AUH AUTS2 B3GNT1 BAG3 BCAP31 BCOR BCS1L BEAN1 BIN1 BRWD3 BSCL2 C10ORF2 C12ORF65 C19ORF12 C9ORF72 CA8 CACNA1A CACNB4 CACNG2 CAMTA1 CAPN3 CASK CAV3 CC2D1A CCDC88C CCT5 CD59 CDH13 CDH15 CFL2 CHGB CHKB CHMP2B CLCN1 CLIC2 CLN5 CLN6 CNBP CNTN1 CNTN4 COL12A1 COL6A1 COL6A2 COL6A3 COQ2 COQ9 COX10 COX15 CP CRADD CRBN CRYAB CRYM CTDP1 CTNNB1 CUL4B CYP27A1 CYP7B1 DAG1 DAO DARS2 DCAF17 DCTN1 DCX DEAF1 DES DFNB59 DHH DIAPH3 DLG3 DMD DMPK DNAJB2 DNAJB6 DNAJC19 DNM2 DNMT1 DOCK8 DPM1 DPM3 DPP6 DRD2 DRD5 DST DYNC1H1 DYRK1A DYSF EFHC2 EGR2 EIF2B5 ELK1 ELOVL4 EMD ENTPD1 EPB41L1 ERBB4 ERLIN2 EXOSC3 FA2H FAM134B FASTKD2 FBLN5 FGD1 FGD4 FGF14 FHL1 FIG4 FKBP14 FKRP FKTN FLNC FLVCR1 FMN2 FMR1 FOXRED1 FRG1 FTL FTSJ1 FUS FXN GAA GAD1 GAN GARS GBA GBE1 GCDH GCH1 GDAP1 GDI1 GFER GJB1 GJB3 GLA GLE1 GNE GOSR2 GPC3 GRIA3 GRIK2 GRIN1 GRIN2B GRM1 GRN GSN HADHB HARS HK1 HOXD10 HPRT1 HRAS HSD17B10 HSPB1 HSPB3 HSPB8 HSPD1 HSPG2 HUWE1 IDS IFIH1 IFRD1 IGBP1 IGHMBP2 IKBKAP IL1RAPL1 INF2 IQSEC2 ISCU ISPD ITGA7 ITPR1 ITPR3 KARS KBTBD13 KCNA1 KCNJ10 KCTD7 KDM5C KIAA0196 KIAA0226 KIAA1033 KIAA2022 KIF1A KIF1B KIF5A KIRREL3 KLHL9 L1CAM LAMA2 LAMP2 LARGE LDB3 LITAF LMNA LRSAM1 LUM MAGT1 MAN1B1 MARS2 MATR3 MBD5 MBTPS2 MCM3AP MECP2 MED12 MED23 MED25 MEF2C MEGF10 MFN2 MPZ MRE11A MTFMT MTM1 MTMR14 MTMR2 MTPAP MTTP MYF6 MYH14 MYH2 MYH7 MYOT NDRG1 NDST1 NDUFA10 NDUFA12 NDUFA2 NDUFA9 NDUFAF2 NDUFAF5 NDUFAF6 NDUFS1 NDUFS3 NDUFS4 NDUFS7 NDUFS8 NEB NEFH NEFL NGF NKX2 NLGN4X NOP56 NPC1 NPC2 NSUN2 NTRK1 NUBPL NXF5 OFD1 OPA1 OPA3 OPHN1 OPTN ORAI1 OTOF PABPN1 PAK3 PANK2 PARK2 PARK7 PAX6 PCDH19 PDGFB PDHX PDSS2 PDYN PEX10 PEX12 PEX16 PEX2 PEX7 PFN1 PHF8 PHKA1 PHYH PIK3R5 PLA2G6 PLEC PLEKHG4 PLEKHG5 PLP1 PMM2 PMP22 PNKD PNKP PNPLA2 PNPLA6 POGZ POLG POLR3A POLR3B POMGNT1 POMGNT2 POMT1 POMT2 PON1 PON2 PON3 PPP2R1A PPP2R2B PRF1 PRICKLE1 PRKCG PRKRA PRPH PRPS1 PRRT2 PRSS12 PRX PSAP PSEN1 PUS1 PYGM RAB39B RAB3GAP2 RAB7A REEP1 RNF170 RPIA RTN2 RYR1 SACS SBF2 SCN10A SCN1A SCN4A SCN8A SCN9A SCP2 SDHA SEPN1 SETX SGCA SGCB SGCD SGCG SH3TC2 SHROOM4 SIGMAR1 SIL1 SLC12A6 SLC16A2 SLC1A3 SLC25A19 SLC2A1 SLC30A10 SLC33A1 SLC5A7 SLC6A3 SLC9A6 SMN1 SMN2 SNAP29 SOD1 SOX10 SPAST SPG11 SPG20 SPG21 SPG7 SPR SPTBN2 SPTLC1 SPTLC2 SQSTM1 SRD5A3 SRPX2 ST3GAL3 STIM1 SUCLA2 SUN2 SURF1 SYNE1 SYNE2 SYNGAP1 SYP SYT14 SYT2 TAF1 TAF15 TAF2 TARDBP TAZ TBK1 TCAP TDP1 TECR TGM6 TH THAP1 TIMM8A TMEM43 TNNT1 TOR1A TPM2 TPM3 TPP1 TRAPPC9 TRIM32 TRPC3 TRPM2 TRPM7 TRPV4 TSFM TSPAN7 TTBK2 TTC19 TTI2 TTN TTPA TTR TUSC3 TYMP UBA1 UBE2A UBQLN2 VAPB VCP VLDLR VPS13A VRK1 WDR45 WDR81 WFS1 WNK1 WWOX XK YARS YARS2 ZCCHC12 ZDHHC15 ZDHHC9 ZFYVE26 ZFYVE27 ZMYND11 ZNF41 ZNF592 ZNF674 ZNF711 ZNF81
GL-000047	Hereditary breast and ovarian cancer predisposition test 12	ATM BRCA1 BRCA2 BRIP1 CDH1 CHEK2 NBN PALB2 PTEN RAD51C RAD51D TP53
GL-000049	Hereditary breast cancer, ovarian cancer and inherited cancer syndrome predisposition test 30	APC ATM BMPR1A BRCA1 BRCA2 BRIP1 CDH1 CHEK2 MEN1 MLH1 MSH2 MSH6 NBN NF1 NF2 PALB2 PMS2 PTEN RAD51C RAD51D RET SDHB SDHD SMAD4 STK11 TP53 TSC1 TSC2 VHL WT1
GL-000050	Hereditary gastrointestinal cancer predisposition test 19	APC BMPR1A CDH1 CDKN2A CHEK2 EPCAM KIT MET MLH1 MSH2 MSH6 MUTYH PMS2 PTEN SDHB SDHC SMAD4 STK11 TP53
GL-000051	Hereditary cancer predisposition test (BRCA1, BRCA2 and TP53) 3	BRCA1 BRCA2 TP53
GL-000053	Hereditary neurofibromatosis predisposition test 2	NF1 NF2
GL-000054	Sandhoff disease_CE 1	HEXB
GL-000056	Hereditary breast, ovarian and gastrointestinal cancer predisposition test 27	APC ATM BMPR1A BRCA1 BRCA2 BRIP1 CDH1 CDKN2A CHEK2 EPCAM KIT MET MLH1 MSH2 MSH6 MUTYH NBN PALB2 PMS2 PTEN RAD51C RAD51D SDHB SDHC SMAD4 STK11 TP53
